"N°","Institucion","Departamento","Provincia","Distrito","Representante","Sector"
"307","Asociación Organización No Gubernamental de Desarrollo Amazónico Sostenible Madre de Dios","Madre De Dios","Tambopata","Tambopata","Berrocal Delgado,  Salomon","Producción/Desarrollo e Inclusión Social/"
"308","Asociación Organización No Gubernamental Hermandad por la Inclusión de personas con discapacidad","Lima","Lima","Breña","Perinango Gonzales,  Lazaro Antenor","Mujer yPoblaciones Vulnerables/"
"309","Asociación Orquestas Infantiles y Juveniles del Perú","Lima","Lima","Miraflores","Molinari Portal,  Miguel Amadeo","Educación/ Cultura/"
"310","Asociación Pacha Uyway","Ayacucho","Huamanga","Ayacucho","Carrillo Medina,  Pelayo","Agricultura/Educacion/Trabajo Y Promocion Social/Otros/"
"311","Asociación para el Desarrollo Agrario y Ambiental Kotosh Perú - ONGD","Huánuco","Huanuco","Amarilis","Dominguez Valdez,  Niceforo","Agricultura y Riego/Vivienda, Construcción y Saneamiento/"
"312","Asociación para el Desarrollo Agroecológico y Regional","Lima","Lima","La Molina","Zorogastua Cruz,  Percy Ernesto","Agricultura/"
"313","Asociación para el Desarrollo Andino Sostenible Qullana                                                                 ","Cusco","Cusco","Cusco","Berrio Cordova,  Carlos Ariel","Agricultura/Educacion/Salud/PCM/"
"314","Asociación para el Desarrollo Comunal Sunchubamba","La Libertad","Trujillo","La Esperanza","Bravo Sanchez De Pomayay,  Norma Olivia","Ambiente/Presidencia del Consejo de Ministros/"
"315","Asociación para el Desarrollo con Identidad de la Nación Yanesha","Pasco","Oxapampa","Villa Rica","Dionicio Manchari,  Bennie Henry","Agricultura/Justicia/Mujer y Desarrollo Social/"
"316","Asociación para el Desarrollo de Ancash y Zonas Aledañas","Ancash","Carhuaz","Carhuaz","Garcilazo Meza,  Ambrocio Teodoro","Educacion/Mujer y Desarrollo Social/Salud/"
"317","Asociación para el Desarrollo de la Educación, Beneficio del Ambiente y Apoyo Social - Perú ","La Libertad","Trujillo","Victor Larco Herrera","Noriega Diaz,  Enma Janet","Mujer y Desarrollo Social/Otros/"
"318","Asociación para el Desarrollo de la Enseñanza Universitaria","Lima","Lima","Miraflores","Ferreiro De Babot,  Pablo","Educación/"
"","","","","","Viera Petit Jean,  Hector Manuel",""
"319","Asociación para el Desarrollo de la Niñez en el Perú","Apurimac","Abancay","Abancay","Corazao Teves,  Eddy","Mujer y Poblaciones Vulnerables/Educación/"
"320","Asociación para el Desarrollo Económico del Perú","Cusco","Cusco","Santiago","Zans Loayza,  Eduardo","Educacion/Comercio/Mujer Y Desarrollo Social/PCM/"
"321","Asociación para el Desarrollo Económico Social  ","Ayacucho","Huamanga","Ayacucho","Pretel Maldonado,  Maximo","Mujer y Desarrollo Social/Otros/"
"322","Asociación para el Desarrollo Económico Social Finandes","Lima","Lima","San Miguel","Orellana Francia,  Carlos Gustavo","Cultura/Ambiente/Educación/"
"323","Asociación para el Desarrollo Económico y Social del Agro","Lima","Lima","Santiago De Surco","Macera Urquizo,  Maria Cecilia","Agricultura/"
"324","Asociación Para El Desarrollo Equitativo Sustentable","Lima","Lima","La Molina","Durand Arce,  Maria Rosario","Agricultura/Educacion/Comercio/Trabajo Y Promocion Social/Vivienda Y Construccion/Otros/"
"325","Asociación para el Desarrollo Integral Alternativo Regional","Cajamarca","Cajamarca","Cajamarca","Flores Castillo,  Wilson Nicolas","Educacion/PCM/"
"326","Asociación para el Desarrollo Integral de la Selva Peruana (ADISEL Perú)","Lima","Lima","San Martin De Porres","Perez Apagueño,  Misael","Agricultura/Salud/"
"327","Asociación para el Desarrollo Integral Shalom                                                                           ","Lima","Lima","Lima","Gomez Diaz, Victoria,  ","Mujer y Desarrollo Social/Trabajo y Promocion Social/"
"328","Asociación para el Desarrollo Integral y Sostenible de los Pueblos Andino Amazónicos","Huánuco","Huanuco","Huanuco","Cantalicio Rivera,  Julio","Agricultura/Educacion/Mujer Y Desarrollo Social/Salud/"
"329","Asociación para el Desarrollo Rural - Urbano","Lima","Callao","La Perla","Morales Espino,  Gonzalo","Educacion/Mujer y Desarrollo Social/Salud/"
"330","Asociación para el Desarrollo Social Sostenible","Huánuco","Huanuco","Amarilis","Cueva Chuquihuanga,  Jesus Fernando","Agricultura/Educacion/Mujer Y Desarrollo Social/Salud/Pcm/"
"331","Asociación para el Desarrollo Sostenible del Perú","Lima","Lima","San Isidro","Obregon Ramirez,  Celfia Edilberta","Educacion/Mujer Y Desarrollo Social/Salud/"
"332","Asociación para el Desarrollo, Educación y Ecología","Junín","Huancayo","El Tambo","Picon Cardenas,  Lilia Isidora","Agricultura/"
"333","Asociación para el Desarrollo, Investigación, Producción Ecológica Sostenible y de Servicios","Junín","Huancayo","El Tambo","Chavez Alvarado,  Maria Antonieta"," Producción/"
"334","Asociación para el Manejo Conservación y Gestión de Zonas Naturales","Pasco","Oxapampa","Villa Rica","Perez Shareva,  Herver Walter","Agricultura/"
"335","Asociación para el Mejoramiento de la Educación Básica de Piura","Piura","Piura","Castilla","Marquez Calvo,  Jaime Ernesto","Educacion/"
"336","Asociación para el Progreso Emprendedor y Desarrollo de Inclusión Social","Lima","Huaura","Huacho","Bazalar Cantera,  Jose Luis","Mujer Y Poblaciones Vulnerables/Educacion/Justicia Y Derechos Humanos/"
"337","Asociación para la Conservación de Ambientes Marinos y Costeros","Lima","Lima","La Molina","Forsberg Ghio,  Kerstin","Ambiente/"
"338","Asociación para la Conservación de La Cuenca Amazónica ","Lima","Lima","Barranco","Ortiz Tejada,  Enrique","Agricultura/"
"","","","","","Pogliani,  Daniela",""
"339","Asociación para la Conservacion del Patrimonio Cultural Amazónico","Lima","Lima","Jesus Maria","Silva Aroni,  Maria Esther","Agricultura/"
"340","Asociación para la Conservación y Uso Sostenible de la Biodiversidad Agrícola","Junín","Tarma","San Pedro De Cajas","Oscanoa Leon,  Meyer Rene","Agricultura/Produccion/"
"341","Asociación para la Cooperación, Bienestar y Desarrollo Integral Humanitario","La Libertad","Trujillo","Laredo","Correa Perez,  Mario","Mujer y Poblaciones Vulnerables/Ambiente/Educacion/Justicia y Derechos Humanos/"
"342","Asociación para la Educación Ecológica y Desarrollo Sostenible ""Crece Perú""","Junín","Huancayo","Pilcomayo","Rodriguez Isidro,  Teofilo Felix","Agricultura/Educacion/Mujer Y Desarrollo Social/"
"343","Asociación para la Formación Humana y Capacitación Técnica                                                              ","Lima","Lima","Comas","Armejo Sanchez,  Antonio","Educacion/Industria/Salud/Trabajo Y Promocion Social/Pcm/Otros/"
"344","Asociación para la Formación y el Desarrollo del Perú","La Libertad","Trujillo","Victor Larco Herrera","Vuillet Soit Vulliet Steiger,  Jean Pierre","Agricultura/Educacion/Salud/Otros/"
"345","Asociación para la Inclusión y Acción Social ""Socias Peru ONGD""","Ayacucho","Huamanga","Ayacucho","Navarro Trejo,  Julia","Agricultura Y Riego/Desarrollo E Inclusión Social/Salud/"
"346","Asociación para la Investigación y Desarrollo Humano","Piura","Piura","Piura","Arellano Delgado,  Alfonso","Salud/"
"347","Asociación para la Investigación y Desarrollo Integral                                                                  ","Lima","Lima","San Isidro","Nalvarte Armas,  Jaime Guillermo","Agricultura/Industria/Pcm/"
"348","Asociación para la Investigación y Desarrollo Sostenible Suma Marka - ONGD","Puno","Puno","Puno","Bojorquez Gandarillas,  Javier Arturo"," Mujer Y Poblaciones Vulnerables/Ambiente/"
"349","Asociación para la Investigación, Promoción Integral y el Desarrollo Social                                             ","Junín","Huancayo","Huancayo","Martinez Molina,  Otto","Industria/Salud/Pcm/"
"350","Asociación para la Naturaleza y el Desarrollo Sostenible                                                                ","Cusco","Cusco","Wanchaq","Argumedo Medina,  Cesar","Agricultura/Salud/Pcm/"
"351","Asociación para la Niñez y su Ambiente","Lima","Lima","Barranco","Leguia Orezzoli,  Joaquin Felipe","Educacion/Salud/"
"352","Asociación para la Promoción de la Educación Rural y el Desarrollo de Apurímac Tarpurisunchis","Apurimac","Abancay","Tamburco","Malpartida Arzubiaga,  Jesus Francisco Javier","Educacion/"
"","","","","","Cuellar Guillen,  Rocio",""
"353","Asociación para la Promoción del Desarrollo Humano","Cusco","Cusco","Wanchaq","Dueñas Alvarez,  Luz","Educacion/Justicia/Mujer Y Desarrollo Social/Salud/Pcm/"
"354","Asociación para Proyectos Sostenibles Multisectoriales Urbano Rural","Junín","Huancayo","El Tambo","La Cruz Flores,  Hector Vladimir","Educacion/Salud/Pcm/"
"355","Asociación Pasitos de Esperanza","Lima","Lima","Independencia","Arenas Alfaro,  Katia Roxana","Mujer Y Desarrollo Social/Salud/"
"356","Asociación Pataz","La Libertad","Trujillo","Trujillo","Arias Vargas De Sologuren,  Luz Evangelina","Agricultura/Educacion/Mujer Y Desarrollo Social/Salud/Trabajo Y Promocion Social/Otros/"
"357","Asociación Paz - Perú - Organismo No Gubernamental","Arequipa","Arequipa","Socabaya","Gonzales Bernal,  Jacqueline Paola","Educacion/Mujer Y Desarrollo Social/"
"358","Asociación Paz Holandesa","Arequipa","Arequipa","Paucarpata","Van Mourik,  Margaretha Jeannette","Mujer Y Desarrollo Social/Salud/"
"359","Asociación Perú Yantalo Foundation","Lima","Lima","Miraflores","Vasquez Soplin,  Cesar Luis","Mujer Y Desarrollo Social/Salud/"
"","","","","","Samame Beltran,  Carlos Manuel",""
"360","Asociación Peruana A.T.D. Cuarto Mundo","Cusco","Cusco","Cusco","Sacsa Diaz,  Juan Carlos","Economia Y Finanzas/Educacion/Mujer Y Desarrollo Social/"
"361","Asociación Peruana de Consumidores y Usuarios ","Lima","Lima","Miraflores","Caceres Valle,  Crisologo Luis","Justicia Y Derechos Humanos/"
"362","Asociación Peruana de Prevención de la Sordera y Ayuda al Discapacitado Auditivo - UYARI","Lima","Lima","Miraflores","Rubio Espinoza,  Javier","Salud/"
"363","Asociación Peruana de Productores de Cacao","Lima","Lima","Magdalena Del Mar","Rivas Chamba,  Francisco","Agricultura/Mujer Y Desarrollo Social/Pcm/Otros/"
"364","Asociación Peruana del Bambu","Lima","Lima","La Molina","Takahashi Sato,  Josefina","Agricultura/Ambiente/"
"365","Asociación Peruana Ecologista y de Interés Conservacionista en América","Piura","Sullana","Sullana","Seminario Borrero,  Henry Paul","Agricultura/Educacion/Turismo/Comercio/"
"366","Asociación Peruana Mujer y Familia ","Lima","Callao","Callao","Zevallos Ramirez,  Maria Del Rosario","Educacion/Salud/Otros/"
"","","","","","Vasquez Lopez,  Carmen Julia",""
"367","Asociación Peruana para la Conservacion de la Naturaleza                                                                ","Lima","Lima","Magdalena Del Mar","Leo Luna,  Diana Mariella Carmen","Agricultura/Pcm/"
"368","Asociación Peruana para la Prevención de Embarazos no Deseados","Lima","Lima","Lince","Peña Cavassa,  Giannina Patricia","Educacion/Salud/"
"369","Asociación Peruana para la Promoción del Desarrollo Sostenible                                                          ","Lima","Lima","Santiago De Surco","Zapata Amaya,  Jesus Maria","Agricultura/Educacion/Industria/Trabajo Y Promocion Social/Otros/"
"370","Asociación Peruana Refugio para Mujeres Maltratadas María Auxiliadora","Lima","Lima","San Miguel","Weilg Acosta,  David Enrique","Educacion/Mujer Y Desarrollo Social/"
"371","Asociación Peruano Japonesa                                                                                             ","Lima","Lima","Jesus Maria","Kunigami Kunigami,  Jorge","Educacion/Mujer Y Desarrollo Social/Salud/"
"372","Asociación Peruano Japonesa de la Provincia de Huaral","Lima","Huaral","Huaral","Hosaka Kondo,  Roberto","Cultura/Desarrollo E Inclusión Social/Educacion/"
"373","Asociación Peru-Austria Internacional ","Lima","Lima","San Isidro","Hofer,  Andrea","Educacion/Industria/Mujer Y Desarrollo Social/Salud/Pcm/"
"374","Asociacion Picaflor House","Cusco","Cusco","Wanchaq","Roger Elliott,  Stephen","Cultura/Educación/Salud/"
"375","Asociación por el Equilibrio Ecológico Fuente de Desarrollo ","Huánuco","Leoncio Prado","Rupa-Rupa","Perez Pezo,  Victor Raul","Agricultura/"
"376","Asociación por eso Perú","Cusco","Calca","Calca","Heemskerk,  Simone Cornelia"," Cultura/ Mujer Y Poblaciones Vulnerables/"
"","","","","","Buets,  Johanna Catharina Maria",""
"","","","","","Cespedes Rodriguez,  Iris",""
"377","Asociación por la Calidad de Vida, Salud y Desarrollo Yachay - Perú","Ayacucho","Huamanga","San Juan Bautista","Delgadillo Cuba,  Hernan"," Mujer Y Poblaciones Vulnerables/Educacion/Salud/Vivienda, Construcción Y Saneamiento/"
"378","Asociación por la Recuperación y Conservación de la Biodiversidad ""Wiñay Causaq""","Cusco","Cusco","Cusco","Huacac Gallegos,  Grimaldo","Agricultura/Mujer Y Desarrollo Social/"
"379","Asociación por la Vida  ","Piura","Piura","Piura","Dioses Piedra,  Celina Del Pilar"," Mujer Y Poblaciones Vulnerables/Educacion/Salud/"
"380","Asociación Posada de Belen Chorrillos","Lima","Lima","Chorrillos","Galvez Santa Cruz,  Ana Paola"," Mujer Y Poblaciones Vulnerables/"
"381","Asociación Pro Bienestar y Desarrollo Probide                                                                                ","Lima","Lima","La Molina","Diez Canseco Terry,  Raul","Mujer Y Desarrollo Social/"
"382","Asociacion Pro Derechos Humanos ","Lima","Lima","Jesus Maria","Cano Legua,  Gloria Margarita","Educacion/Justicia/Pcm/"
"383","Asociacion Pro Desarrollo Integral de Altiplano","Puno","Puno","Puno","Avila Molero,  Javier Augusto"," Mujer Y Poblaciones Vulnerables/Educacion/"
"384","Asociacion Promocion de la Gestion Rural Económica y Social","Piura","Piura","Castilla","Tineo Torres,  Raul Adan","Agricultura/Salud/Pcm/"
"","","","","","Castillo Dominguez,  Elena Del Carmen",""
"385","Asociación Promotora Integral de Desarrollo Social","La Libertad","Trujillo","Moche","Diaz Bazan,  Carlos Augusto","Agricultura/Educacion/Mujer Y Desarrollo Social/Salud/Vivienda Y Construccion/"
"386","Asociación Promotora Para La Educacion, Medio Ambiente Y Agricultura","Lambayeque","Lambayeque","Illimo","Vera Santamaria,  Jose Primitivo","Agricultura/Educacion/"
"387","Asociación Promoviendo Valores","Junín","Huancayo","Huancayo","Bravo Capcha,  Saul","Industria/Justicia/"
"388","Asociación Propuesta Latina","Lima","Lima","San Miguel","Ledesma Davalos,  Silvia Nancy","Agricultura/Mujer Y Desarrollo Social/Salud/Otros/"
"389","Asociación Proteccion Ambiental Y Desarrollo Sostenible","Junín","Huancayo","Huancayo","Barreto Jimeno,  Pedro Ricardo"," Mujer Y Poblaciones Vulnerables/Ambiente/"
"390","Asociación Proyeccion","Arequipa","Arequipa","Arequipa","Salinas Valencia,  Maria Angelica","Educacion/Justicia/Mujer Y Desarrollo Social/"
"391","Asociación Proyecto de Desarrollo Vida Buena","Cajamarca","Cajamarca","Cajamarca","Angulo Casanova, Marco Leoncio,  ","Agricultura/Educacion/Industria/Salud/"
"392","Asociación Proyecto Mono Tocon","San Martín","Moyobamba","Moyobamba","Murrieta Villalobos,  Eder","Agricultura/"
"393","Asociación Proyectos Perú","Ucayali","Coronel Portillo","Yarinacocha","Espinosa Castro,  Eben Ezer","Mujer Y Desarrollo Social/"
"394","Asociación Pueblo Indigena en Acción","Cusco","Cusco","Wanchaq","Chuctaya Suclle,  Javier"," Mujer Y Poblaciones Vulnerables/Trabajo Y Promoción Del Empleo/"
"395","Asociación Pukllasunchis                                                                                                ","Cusco","Cusco","Cusco","Appenzeller Schlegel,  Christine Ruth","Economia Y Finanzas/Educacion/Industria/Comercio/Salud/Trabajo Y Promocion Social/Pcm/Otros/"
"","","","","","Chiappe Tafur,  Raul Carlos Francisco",""
"396","Asociación Qolla Aymara","Puno","Puno","Puno","Cutipa Flores,  Sabino Orlando","Agricultura/Educacion/"
"397","Asociación Qosqo Maki                                                                                                   ","Cusco","Cusco","Cusco","Guadalupe Zevallos,  Oscar Gustavo","Educacion/Mujer Y Desarrollo Social/Salud/Pcm/"
"398","Asociación Quimiy","Lima","Lima","San Juan De Lurigancho","Alache Nakamura,  Agustin","Educacion/Mujer Y Desarrollo Social/"
"399","Asociación Red de Apoyo Solidario del Buen Pastor en el Perú - RAS","Lima","Lima","Magdalena Del Mar","Calero Lopez,  Elsa Mery","Industria/Mujer Y Desarrollo Social/"
"400","Asociación Red Innova","Lima","Lima","Jesus Maria","Moromizato Izu,  Regina Kiyomi","Educacion/Mujer Y Desarrollo Social/Salud/"
"401","Asociación Red Peruana de Divulgadores Científicos","Lima","Lima","Santiago De Surco","Durand Barrera,  Javier Gustavo","Desarrollo E Inclusión Social/Educacion/"
"402","Asociación Red Suma","Lima","Lima","Jesus Maria","Moromizato Izu,  Regina Kiyomi","Desarrollo E Inclusión Social/"
"403","Asociación Religiosa Caritas de La Prelatura de Sicuani","Cusco","Canchis","Sicuani","Bustamante Lopez,  Pedro Alberto"," Mujer Y Poblaciones Vulnerables/"
"404","Asociación Runayay","Lima","Lima","Ate","Armero Caycho De Egg,  Maria Rosario","Educacion/Mujer Y Desarrollo Social/Salud/"
"405","Asociación Rupajampi","Lima","Lima","San Isidro","Medrano Sedano,  Cesar Saturnino","Salud/"
"406","Asociación Sabiduría Indígena y Blanca Unido por una Existencia Natural y Oportuna","Loreto","Maynas","Iquitos","Acha-Orbea,  Francisco Javier","Agricultura/Industria/Salud/Otros/"
"407","Asociación Salud Educacion Sobrevivir Tambogrande","Piura","Piura","Tambo Grande","Silipu Garcia,  Jose Julio","Educacion/Mujer Y Desarrollo Social/Salud/"
"408","Asociación Salvando Mi Planeta","Ica","Ica","Ica","Bobadilla Rojas,  Angel Ricardo","Ambiente/"
"409","Asociación San Lucas - San Martin","San Martín","Moyobamba","Moyobamba","Huaman Davila,  Mario Luis","Agricultura/Educacion/Salud/Trabajo Y Promocion Social/Otros/"
"410","Asociación Savia Andina Pukara","Puno","Melgar","Ayaviri","Gomel Apaza,  Zenon Porifdio","Agricultura/Comercio/Trabajo Y Promocion Social/Otros/"
"411","Asociación Servicios Ecosistemicos Peru","Lima","Lima","Miraflores","Hajek Cermak,  Frank","Agricultura/"
"412","Asociación Servicios Educativos Rurales ","Lima","Lima","Magdalena Del Mar","Reynoso Rosales,  Raquel Flora","Vivienda Y Construccion/Pcm/"
"413","Asociación Shura","Junín","Satipo","Satipo","Llanco Alanya,  Yolinda","Desarrollo E Inclusión Social/Presidencia Del Consejo De Ministros/Trabajo Y Promoción Del Empleo/"
"414","Asociación Sin Fines De Lucro: Caritas Sin Lagrimas - Peru","Lima","Lima","San Martin De Porres","Machuca Meneses,  Cesar Raul","Educacion/Mujer Y Desarrollo Social/Salud/"
"415","Asociación sin Fronteras para el Apoyo y el Desarrollo de la Educacion, Salud y Ambiente","La Libertad","Trujillo","Trujillo","Araque Perona,  Ramon","Mujer Y Poblaciones Vulnerables/Comercio Exterior Y Turismo/Salud/"
"416","Asociación Solaris Perú","Lima","Lima","Magdalena Del Mar","Pisfil Garcia,  Carmen Julia Emili","Educacion/Salud/"
"417","Asociación Solidaria Con El Desarrollo Del Peru","La Libertad","Trujillo","Trujillo","Otoya Prentice,  Gonzalo Eduardo","Educacion/Mujer Y Desarrollo Social/"
"418","Asociación Solidaria y Asistencial Cambiando Vidas","La Libertad","Trujillo","Trujillo","Mas Muñoz,  Alejandro Hernani"," Mujer Y Poblaciones Vulnerables/Desarrollo E Inclusión Social/Educacion/"
"419","Asociación Solidaridad Cristiana Ayudanos A Ayudar","Loreto","Alto Amazonas","Yurimaguas","Kurnelius,  P.","Salud/"
"420","Asociación Solidaridad Integrando Yacus Al Peru","Lima","Lima","Breña","Ambrosio Cuellar,  Humberto","Ambiente/Desarrollo E Inclusión Social/"
"421","Asociación Solidaridad Perú Alemania","Lima","Lima","San Juan De Lurigancho","Seul Franz","Educacion/"
"422","Asociación Solidaridad Wanka","Junín","Huancayo","El Tambo","Paredes Cordova,  Wilmer"," Mujer Y Poblaciones Vulnerables/Desarrollo E Inclusión Social/"
"423","Asociación Solidaridad, Verdad y Tecnología","Ancash","Santa","Chimbote","Hernandez Saenz,  Jose Mercedes","Mujer Y Desarrollo Social/"
"424","Asociación Solución Verde","Ucayali","Coronel Portillo","Calleria","Delzo Ponce,  Ruben Dario"," Mujer Y Poblaciones Vulnerables/Ambiente/Educacion/"
"425","Asociación Suma Qamaña para la Educación y Desarrollo Sostenible","Puno","Puno","Puno","Encinas Maquera,  Mariano","Agricultura/Educacion/"
"426","Asociación Sumaq Illari","Lima","Lima","Puente Piedra","Marena Cachay,  Esteban","Educacion/Salud/Trabajo Y Promocion Social/"
"427","Asociación Sut´  Iyay","Cajamarca","Cajamarca","Los Baños Del Inca","Velez Alvarez,  Manuel","Agricultura/Industria/Produccion/Vivienda Y Construccion/Otros/"
"428","Asociación Taller De Los Niños                                                                                          ","Lima","Lima","Magdalena Del Mar","Ramseyer Denbreaz,  Christiane","Mujer Y Desarrollo Social/Salud/Pcm/"
"429","Asociación Tarpusunchis","Lima","Lima","Jesus Maria","Salazar Cayuri,  Marco Antonio","Agricultura/Educacion/Salud/"
"430","Asociación Tawantinsuyuman Evangelioq K´Ancharinanpaq","Cusco","Cusco","San Jeronimo","Quintanilla Palomino,  Fredi"," Mujer Y Poblaciones Vulnerables/Educacion/"
"431","Asociación Técnica Desarrollo Económico Social Ambiental","Lambayeque","Chiclayo","Jose Leonardo Ortiz","Cayao Rubio,  Jose Sabino","Agricultura/Energia Y Minas/Industria/"
"432","Asociación Tecnología Ecología y Desarrollo                                                                             ","Lima","Lima","Surquillo","Roncal Rodriguez,  Franklin Santiago","Agricultura/Industria/Pcm/"
"433","Asociación Tecnología y Desarrollo","Lima","Lima","San Isidro","Leon Huaco,  Josefa Barbara","Agricultura/Industria/Produccion/Salud/"
"434","Asociación Trabajo, Paz y Sociedad","Lima","Lima","Chorrillos","Velasco Cordova,  Fernando Emilio","Industria/Comercio/Trabajo Y Promocion Social/"
"435","Asociación Tres Fronteras","Madre De Dios","Tambopata","Las Piedras","Valderrama Cusimayta,  Nicolas Ricardo","Agricultura/"
"436","Asociación Urpichallay                                                                                                  ","Ancash","Carhuaz","Marcara","Montes Mallqui,  Ivan Juan","Agricultura/Educacion/Mujer Y Desarrollo Social/Salud/Trabajo Y Promocion Social/Pcm/Otros/"
"437","Asociación Vamos Peerless","Lima","Lima","San Isidro","Kouri Paredes,  Gregorio Fernando Andres","Mujer Y Poblaciones Vulnerables/Ambiente/Desarrollo E Inclusión Social/"
"438","Asociación Vega","Piura","Piura","Castilla","Cruz Vega,  Adriana Carolina","Agricultura Y Riego/Comercio Exterior Y Turismo/Educacion/Presidencia Del Consejo De Ministros/Salud/"
"439","Asociación Via Libre                                                                                                    ","Lima","Lima","Lima","Cabello Chavez,  Robinson Leonardo","Salud/PCM/"
"","","","","","Rouillon Insua,  Manuel Alberto",""
"440","Asociación Vida, Inclusión y Desarrollo","Lima","Lima","Lima","Leon Cabrera,  Jorge Humberto","Educacion/Mujer Y Desarrollo Social/Salud/Otros/"
"441","Asociación Vidawasi Perú","Lima","Lima","San Isidro","Dongo Avalo,  Felix Jesus","Cultura/ Mujer Y Poblaciones Vulnerables/"
"442","Asociación Vivir para Servir","Cajamarca","Cajamarca","Cajamarca","Llaxa Izquierdo,  Elmer","Agricultura/Educacion/Justicia/Salud/Vivienda Y Construccion/Otros/"
"443","Asociación Warma Pura","Ayacucho","Huamanga","Ayacucho","Arakaki Bazalar,  Armando Willy","Educacion/Mujer Y Desarrollo Social/"
"444","Asociación Yachay Kallpa","Lima","Lima","Santiago De Surco","Paurinotto Devotto,  Luis Guillermo","Mujer Y Poblaciones Vulnerables/Educacion/"
"445","Astalentum","Lima","Lima","San Juan De Miraflores","Simarra Calla,  Miguel Alexander","Educacion/"
"446","Atiycuy Peru","Lima","Lima","Santiago De Surco","Luque Quispe,  Elizabeth","Mujer Y Poblaciones Vulnerables/Ambiente/"
"447","Avina","Lima","Lima","Miraflores","Artieda Aramburu,  Luis Miguel","Cultura/Ambiente/Educacion/"
"448","Ayne Perú Trinitarias, Solidaridad y Desarrollo","Lima","Lima","Puente Piedra","Alcazar Muñoz,  Maria","Educación/Salud/Trabajo y Promocion Social/"
"","","","","","Balarezo Flores,  Doris Esperanza",""
"449","Ayni - Grupo de Cooperación para el Desarrollo Social","Lima","Lima","Lince","Alanoca Pazos,  Luis Alberto","Educacion/Mujer Y Desarrollo Social/Salud/Trabajo Y Promocion Social/"
"450","Aynimundo","Lima","Lima","San Juan De Miraflores","Rondon Rodriguez,  Veronica","Agricultura/Educacion/Mujer Y Desarrollo Social/Salud/Trabajo Y Promocion Social/Pcm/"
"451","Ayuda para Vida Silvestre Amenazada  Sociedad Zoologica de Francfort Perú","Cusco","Cusco","Santiago","Hoops,  Hauke","Educacion/Pcm/"
"","","","","","Silva Beltran,  Juvenal Alejandro",""
"452","Ayudando A Vivir Mejor","Lima","Lima","San Borja","Rizo Patron Pasara,  Jose Ignacio","Educacion/Mujer Y Desarrollo Social/Salud/"
"453","Bcprovide","Lima","Lima","La Molina","Macedo Pinedo,  Natalia Solansh"," Mujer Y Poblaciones Vulnerables/Ambiente/Educacion/"
"454","Bienestar Global","Puno","Puno","Puno","Mamani Tito,  Henri Ore","Educacion/Mujer Y Desarrollo Social/Salud/"
"455","Biosfera-Sos","Ucayali","Coronel Portillo","Yarinacocha","Vasquez Meza,  Raul","Agricultura/"
"456","Buckner Orphan Care Perú","Lima","Lima","Miraflores","Leon Vergara,  Claudia Maria","Educacion/Mujer Y Desarrollo Social/Salud/"
"457","Cámara de Comercio de Huancayo","Junín","Huancayo","Huancayo","Velasquez Salaverry,  Humberto"," Producción/Ambiente/Justicia Y Derechos Humanos/"
"","","","","","Ludeña Lopez,  Erika",""
"458","Cámara de Comercio y Producción de Lambayeque","Lambayeque","Chiclayo","Chiclayo","Zoeger Navarro,  Otto Hermann Dario"," Producción/Comercio Exterior Y Turismo/"
"459","Cámara Nacional Forestal","Lima","Lima","Jesus Maria","Nalvarte Armas,  Walter Dario","Agricultura/"
"460","Cámara Peruana De Comercio Exterior","Lima","Lima","San Isidro","Mendez Cabezas,  Luis Enrique","Comercio Exterior Y Turismo/"
"461","Cámara Peruana del Café y Cacao","Lima","Lima","Miraflores","Montauban Urriaga,  Eduardo Juan Bernardo Jorge","Agricultura/"
"462","Cambio Climático y Medio Ambiente","Lima","Lima","Carabayllo","Rossell Ramirez,  Juan Armando","Agricultura/"
"463","Caminando Hacia Ti","La Libertad","Trujillo","Victor Larco Herrera","Cribilleros Plasencia,  Lester Alan"," Mujer Y Poblaciones Vulnerables/Educacion/Salud/"
"464","Camino De La Esperanza","Lima","Lima","Comas","Oliva Guerrero,  Carlos Luis"," Mujer Y Poblaciones Vulnerables/"
"465","Capirona - Investigación y Desarrollo","San Martín","San Martin","Tarapoto","Saldaña Hidalgo,  Marco Antonio","Agricultura/"
"466","Capital Humano Y Social Alternativo","Lima","Lima","Miraflores","Querol Lipcovich,  Andrea Claudia","Educacion/Mujer Y Desarrollo Social/Salud/Trabajo Y Promocion Social/Pcm/"
"","","","","","Cordova Del Campo,  Pedro Enrique Santiago",""
"","","","","","Aguilar Cardoso,  Luis Enrique",""
"467","Care Perú","Lima","Lima","Jesus Maria","Stanojevich Destefano,  Milovan","Educacion/Mujer Y Desarrollo Social/Salud/"
"","","","","","Temple Arciniega,  Ana Ines",""
"","","","","","Asca Cordano,  Rosa Mercedes",""
"468","Caritas Abancay","Apurimac","Abancay","Abancay","Pagaza Castillo,  Leonidas David","Agricultura/Educacion/Salud/Trabajo Y Promocion Social/"
"","","","","","Gomez Gonzales,  Gilber",""
"469","Caritas Arquidiocesana De Huancayo","Junín","Huancayo","Huancayo","Huayta Anyosa,  Karina Nataly","Agricultura/Educacion/Salud/"
"470","Caritas Arquidiocesana Del Cusco","Cusco","Cusco","Cusco","Carpio Joyas,  Alberto","Salud/"
"","","","","","Alarcon Urrutia,  Richard Daniel",""
