"N°","Institucion","Departamento","Provincia","Distrito","Representante","Sector"
"41","Asociación  Yavari","Lima","Lima","Lima","Guldentops Benavides,  Giselle Leonora","Educación/Turismo/Trabajo y Promoción Social/Otros/"
"42","Asociación Agape","Lima","Lima","La Victoria","Arroyo Azurza,  Yolanda Yvon","Mujer y Desarrollo Social/"
"","","","","","Diaz Arroyo,  Felipe Santiago",""
"43","Asociación Agla","Huánuco","Huanuco","Amarilis","Huapaya Ospino,  Miriam Adelaida","Educación/Turismo/Justicia/Producción/Mujer y Desarrollo Social/Salud/Vivienda y Construcción/"
"44","Asociación Agro Forestal Amigos del Planeta","Apurimac","Abancay","Abancay","Ballon Becerra,  Genaro","Mujer y Poblaciones Vulnerables/Ambiente/Transportes y Comunicaciones/"
"45","Asociación Agustín Cauper Videira","Ucayali","Coronel Portillo","Calleria","Cauper Cauper,  Adela","Agricultura/Educación/Mujer y Desarrollo Social/Salud/"
"46","Asociacion Allin Kawsanapaq","Lima","Lima","San Martin De Porres","Bellido Quispe,  Antonio Leopoldo","Mujer y Poblaciones Vulnerables/Educación/Salud/"
"47","Asociacion Allin Kawsay","Cusco","Canchis","Sicuani","Bouquet,  Jean Dominique Marie Joseph","Educación/Mujer y Desarrollo Social/Salud/Trabajo y Promoción Social/Otros/"
"48","Asociacion Allpa Para La Cooperacion Y El Desarrollo Sostenible","Ancash","Huari","Huari","Vidal Solis,  Edgar Homero","Mujer y Poblaciones Vulnerables/Presidencia del Consejo de Ministros/"
"49","Asociación Amici del Perú","Cusco","Cusco","San Sebastian","Gallegos Altamirano,  Norbina","Mujer y Poblaciones Vulnerables/Desarrollo e Inclusión Social/Educación/"
"50","Asociación Andares-Perú","La Libertad","Trujillo","Moche","Rubiños De Vazallo,  Margot Violeta","Educacion/Mujer y Desarrollo Social/"
"51","Asociación Andina de Desarrollo Sostenible                                                                              ","Ancash","Huaraz","Huaraz","Fernandez Orellano,  Lupiciano","Agricultura/Comunicaciones/"
"52","Asociación Apoyo al Desarrollo Integral Sostenido","Cajamarca","Cajamarca","Cajamarca","Rojas Quesada,  Alberto","Mujer y Poblaciones Vulnerables/Ambiente/Educación/"
"53","Asociación Arariwa para la Promoción Técnico Cultural Andina                                                            ","Cusco","Cusco","Wanchaq","Cueva Garcia,  Francisco Roman","Agricultura/Salud/PCM/"
"","","","","","Maldonado Castilla,  Yunilda",""
"54","Asociación Arco Iris","Ancash","Huaraz","Huaraz","Stunt Puyoles,  Elisabeth","Salud/"
"55","Asociacion Aurora Vivar","Lima","Lima","La Victoria","Diaz Galvez,  Ana Maria","Mujer y Desarrollo Social/"
"56","Asociación Ayniy Latinoamerica","Lima","Lima","Ate","Contreras Maldonado,  Guillermo Jesus","Ambiente/Transportes Y Comunicaciones/"
"57","Asociación Bartolome Aripaylla                                                                                          ","Ayacucho","Huamanga","Carmen Alto","Machaca Mendieta,  Marcela","Agricultura/PCM/"
"58","Asociación Bautista Hogar Para Menores Nueva Esperanza","Arequipa","Arequipa","Cerro Colorado","Rivera Loaiza,  Felix Bertin","Mujer y Poblaciones Vulnerables/"
"59","Asociación Benefica Alianza por el Bien Común","Lima","Lima","Lurin","Ayllon Carreño,  Miguel Augusto","Educación/"
"60","Asociación Benéfica María Echevarria Saona","Lima","Lima","Santiago De Surco","Gutierrez Echevarria,  Juana Cristina","Mujer y Desarrollo Social/Salud/"
"61","Asociación Benefica Prisma                                                                                              ","Lima","Lima","San Miguel","Haustein Van Ginhoven,  Carmen Delia","Agricultura/Mujer Y Desarrollo Social/Salud/Pcm/"
"","","","","","Lamas Neciosup,  Angel Eduardo Fernando",""
"62","Asociacion Benéfica Ruwasunchis","Lima","Lima","San Isidro","Calisto Aguirre,  Juan Diego","Educacion/Industria/Mujer y Desarrollo Social/Salud/"
"63","Asociación Benéfica Solidaria Cardiosalud-Organismo No Gubernamental","Arequipa","Arequipa","Yanahuara","Torres Eguiluz,  Pedro Antonio","Salud/Ambiente/"
"64","Asociación Benefico Cristiana Promotora de Desarrollo Integral","Cusco","Cusco","Cusco","Ruiz Ontalva,  Felicidad","Educación/"
"65","Asociacion Bio Modus Tropical","Lima","Lima","La Victoria","Rios Mori De Kometter,  Libby Betti","Ambiente/Educacion/Salud/"
"66","Asociación Bioselva Perú","Loreto","Alto Amazonas","Yurimaguas","Arango Ramos,  Alejandro Jesus","Agricultura/Otros/"
"67","Asociación Buena Educación","Lima","Lima","Santiago De Surco","Ubalde Herrera,  Alfonso","Educación/"
"68","Asociación Caridad y Solidaridad para el Bienestar del Adulto Mayor","Lima","Lima","Ate","Merino Gonzales,  Julio Cesar","Mujer y Desarrollo Social/"
"69","Asociacion Caritas Felices de Ilo","Moquegua","Ilo","Pacocha","Chavez Linares,  Vicenta","Educación/Salud/"
"70","Asociacion Caritas Felices por la Salud y el Bienestar ","Lambayeque","Chiclayo","La Victoria","Castillo Veintimilla,  Victor","Salud/"
"71","Asociación Carmen Loya","La Libertad","Trujillo","Trujillo","Ganoza Loya,  Ana Paula","Mujer y Poblaciones Vulnerables/"
"72","Asociación Casa de la Mujer Carmelitana","Ica","Chincha","El Carmen","Cartagena Castrillon,  Mirtha Ysabel","Mujer y Desarrollo Social/"
"73","Asociación Casas de la Misericordia","Lima","Lima","Surquillo","Negron Martijena,  Julio Enrique","Educacion/Mujer y Desarrollo Social/Salud/"
"74","Asociación Casas de la Salud","Ica","Ica","Subtanjalla","Ninapayta Inca,  Lourdes","Salud/"
"75","Asociación Centro de Apoyo para el Desarrollo Sostenible de las Comunidades Campesinas del Perú Bosque Dorado - CADES Perú","Junín","Huancayo","El Tambo","Huali Ospina,  Fausto","Mujer y Poblaciones Vulnerables/Agricultura y Riego/Ambiente/"
"76","Asociación Centro de Educación, Organización y Promoción del Desarrollo Ilo","Moquegua","Ilo","Ilo","Flores Garibay,  Asunta Anselma","Educación/"
"","","","","","Martinez Diaz,  Emilio Jose",""
